1,2,3,4,5,6
finishThreadfinish6.76,finishThreadfinish10.59,finishThreadfinish2.88,finishThreadfinish4.08,finishThreadfinish4.16,finishThreadfinish4.51
finishThreadfinish7.04,finishThreadfinish9.52,finishThreadfinish3.53,finishThreadfinish4.75,finishThreadfinish4.92,finishThreadfinish5.10
