1,2,3,4,5,6
0.01,0.01,0.07,0.08,0.05,0.06
0.01,0.03,0.08,0.09,0.05,0.08
0.01,0.02,0.08,0.08,0.08,0.05
0.00,0.02,0.05,0.08,0.13,0.09
0.01,0.02,0.11,0.10,0.05,0.05
