1,2,3,4,5,6
8.07,2.35,2.38,2.77,2.66,2.76
10.13,2.51,2.53,2.93,2.98,2.86
9.66,2.47,2.62,3.06,3.09,2.99
8.34,2.41,2.68,2.63,3.01,2.94
10.45,2.61,2.73,3.10,3.12,2.98
