1,2,3,4,5,6
0.03,0.07,0.11,0.14,0.15,0.22
0.05,0.10,0.11,0.14,0.18,0.26
0.05,0.07,0.11,0.12,0.14,0.25
0.03,0.09,0.09,0.13,0.17,0.25
0.05,0.10,0.12,0.13,0.16,0.24
