1,2,3,4,5,6
0.44,15.01,2.55,3.54,2.79,5.09
0.45,14.71,2.61,3.56,2.83,3.48
0.48,15.04,2.41,3.52,7.74,4.45
0.45,15.10,2.87,3.67,3.03,5.53
0.46,15.00,2.40,3.55,3.10,3.75
