1,2,3,4,5,6
0.48,0.79,1.26,1.20,8.21,14.79
0.51,0.77,1.05,1.35,6.88,8.00
1.09,1.41,1.58,3.59,4.87,12.98
1.41,1.46,1.37,1.53,8.99,10.69
0.96,1.65,1.51,4.20,9.95,12.09
