1,2,3,4,5,6
8.66,2.82,2.62,3.14,2.96,2.87
8.44,2.96,2.65,3.17,2.98,2.80
8.82,3.13,2.75,3.23,2.66,2.96
7.93,3.11,2.70,2.74,3.02,2.89
7.84,3.15,2.75,3.21,2.98,2.59
