1,2,3,4,5,6,7
8.23,2.84,2.97,3.53,3.49,3.41,3.26
8.65,2.92,2.95,3.52,3.39,3.35,3.29
10.75,2.81,2.90,3.32,2.96,3.40,3.40
10.23,2.76,3.06,3.45,3.53,3.39,3.39
9.76,2.83,2.95,3.00,3.41,3.40,2.96
